full_name,ref_name,degree,cell_class
FE_DBTC130_priv_lvl_0,INV_X1,2,stdcell
FE_DBTC129_icache_areq_cache_ex_37,INV_X1,2,stdcell
FE_DBTC128_icache_areq_cache_ex_36,INV_X1,2,stdcell
FE_DBTC127_icache_areq_cache_ex_34,INV_X1,2,stdcell
FE_DBTC126_issue_entry_id_issue_282,INV_X2,2,stdcell
FE_DBTC125_issue_entry_id_issue_281,INV_X1,2,stdcell
FE_DBTC124_issue_entry_id_issue_280,INV_X2,2,stdcell
FE_DBTC123_issue_entry_id_issue_279,INV_X1,2,stdcell
FE_DBTC122_issue_entry_id_issue_276,INV_X2,2,stdcell
FE_DBTC121_issue_entry_id_issue_275,INV_X2,2,stdcell
FE_DBTC120_issue_entry_id_issue_274,INV_X1,2,stdcell
FE_DBTC119_issue_entry_id_issue_273,INV_X1,2,stdcell
FE_DBTC118_issue_entry_id_issue_272,INV_X1,2,stdcell
FE_DBTC117_issue_entry_id_issue_270,INV_X1,2,stdcell
FE_DBTC116_issue_entry_id_issue_269,INV_X1,2,stdcell
FE_DBTC115_issue_entry_id_issue_268,INV_X1,2,stdcell
FE_DBTC114_issue_entry_id_issue_267,INV_X1,2,stdcell
FE_DBTC113_issue_entry_id_issue_266,INV_X1,2,stdcell
FE_DBTC112_issue_entry_id_issue_232,INV_X1,2,stdcell
FE_DBTC111_issue_entry_id_issue_231,INV_X1,2,stdcell
FE_DBTC110_issue_entry_id_issue_230,INV_X1,2,stdcell
FE_DBTC109_issue_entry_id_issue_229,INV_X1,2,stdcell
FE_DBTC108_issue_entry_id_issue_228,INV_X1,2,stdcell
FE_DBTC107_issue_entry_id_issue_227,INV_X1,2,stdcell
FE_DBTC106_issue_entry_id_issue_226,INV_X1,2,stdcell
FE_DBTC105_issue_entry_id_issue_225,INV_X1,2,stdcell
FE_DBTC104_issue_entry_id_issue_224,INV_X1,2,stdcell
FE_DBTC103_issue_entry_id_issue_223,INV_X1,2,stdcell
FE_DBTC102_issue_entry_id_issue_222,INV_X1,2,stdcell
FE_DBTC101_issue_entry_id_issue_221,INV_X1,2,stdcell
FE_DBTC100_issue_entry_id_issue_220,INV_X1,2,stdcell
FE_DBTC99_issue_entry_id_issue_219,INV_X1,2,stdcell
FE_DBTC98_issue_entry_id_issue_218,INV_X1,2,stdcell
FE_DBTC97_issue_entry_id_issue_217,INV_X1,2,stdcell
FE_DBTC96_issue_entry_id_issue_216,INV_X1,2,stdcell
FE_DBTC95_issue_entry_id_issue_215,INV_X1,2,stdcell
FE_DBTC94_issue_entry_id_issue_214,INV_X1,2,stdcell
FE_DBTC93_issue_entry_id_issue_213,INV_X1,2,stdcell
FE_DBTC92_issue_entry_id_issue_212,INV_X1,2,stdcell
FE_DBTC91_issue_entry_id_issue_211,INV_X1,2,stdcell
FE_DBTC90_issue_entry_id_issue_210,INV_X1,2,stdcell
FE_DBTC89_issue_entry_id_issue_209,INV_X1,2,stdcell
FE_DBTC88_issue_entry_id_issue_208,INV_X1,2,stdcell
FE_DBTC87_issue_entry_id_issue_207,INV_X1,2,stdcell
FE_DBTC86_issue_entry_id_issue_206,INV_X1,2,stdcell
FE_DBTC85_issue_entry_id_issue_205,INV_X1,2,stdcell
FE_DBTC84_issue_entry_id_issue_204,INV_X1,2,stdcell
FE_DBTC83_issue_entry_id_issue_203,INV_X1,2,stdcell
FE_DBTC82_issue_entry_id_issue_202,INV_X1,2,stdcell
FE_DBTC81_resolved_branch_7,INV_X1,2,stdcell
FE_DBTC80_resolved_branch_6,INV_X1,2,stdcell
FE_DBTC79_asid_csr_ex_0,INV_X1,2,stdcell
FE_DBTC78_fu_data_id_ex_195,INV_X1,2,stdcell
FE_DBTC77_ex_stage_i_n_13092,INV_X8,2,stdcell
FE_DBTC76_flu_trans_id_ex_id_2,INV_X1,2,stdcell
FE_DBTC75_flu_trans_id_ex_id_1,INV_X2,2,stdcell
FE_DBTC74_store_exception_ex_id_68,INV_X1,2,stdcell
FE_DBTC73_store_exception_ex_id_0,INV_X1,2,stdcell
FE_DBTC72_amo_valid_commit,INV_X1,2,stdcell
FE_DBTC71_n_412,INV_X1,2,stdcell
FE_DBTC70_ex_stage_i_n_12230,INV_X1,2,stdcell
FE_DBTC69_ex_stage_i_alu_i_add_144742_84_n_3,INV_X1,2,stdcell
FE_DBTC68_ex_stage_i_alu_i_add_144742_84_n_606,INV_X1,2,stdcell
FE_DBTC67_ex_stage_i_n_13638,INV_X4,2,stdcell
FE_DBTC66_ex_stage_i_n_13639,INV_X4,2,stdcell
FE_DBTC65_ex_stage_i_n_13640,INV_X4,2,stdcell
FE_DBTC64_ex_stage_i_n_13641,INV_X2,2,stdcell
FE_DBTC63_ex_stage_i_n_13643,INV_X2,2,stdcell
FE_DBTC62_ex_stage_i_n_13677,INV_X1,2,stdcell
FE_DBTC61_ex_stage_i_i_mult_i_multiplier_mul_146979_371_n_9761,INV_X1,2,stdcell
