name,ref,status,xl,yl,xh,yh,orient
_198_,INV_X1,PLACED,115140,30800,115900,33600,FS
_199_,INV_X1,PLACED,118560,25200,119320,28000,FS
_200_,NOR2_X1,PLACED,121980,25200,123120,28000,FS
_201_,NOR2_X1,PLACED,121600,28000,122740,30800,N
_202_,NAND2_X1,PLACED,117420,30800,118560,33600,FS
_203_,NAND2_X1,PLACED,131100,28000,132240,30800,N
_204_,OR2_X1,PLACED,130720,33600,132240,36400,N
_205_,NAND2_X1,PLACED,130720,42000,131860,44800,FS
_206_,INV_X1,PLACED,129200,39200,129960,42000,N
_207_,XOR2_X1,PLACED,129960,44800,132240,47600,N
_208_,NAND2_X1,PLACED,118940,44800,120080,47600,N
_209_,OR2_X1,PLACED,120080,44800,121600,47600,N
_210_,NAND2_X1,PLACED,103740,42000,104880,44800,FS
_211_,XOR2_X1,PLACED,102980,39200,105260,42000,N
_212_,AND2_X1,PLACED,106020,44800,107540,47600,N
_213_,OR2_X1,PLACED,107540,47600,109060,50400,FS
_214_,NAND2_X1,PLACED,107920,67200,109060,70000,N
_215_,NOR2_X1,PLACED,107920,61600,109060,64400,N
_216_,XOR2_X1,PLACED,106780,58800,109060,61600,FS
_217_,AND2_X1,PLACED,98040,61600,99560,64400,N
_218_,OR2_X1,PLACED,99560,61600,101080,64400,N
_219_,NAND2_X1,PLACED,90060,58800,91200,61600,FS
_220_,NOR2_X1,PLACED,90060,67200,91200,70000,N
_221_,XOR2_X1,PLACED,87780,67200,90060,70000,N
_222_,AND2_X1,PLACED,77900,61600,79420,64400,N
_223_,OR2_X1,PLACED,78280,50400,79800,53200,N
_224_,NAND2_X1,PLACED,82460,44800,83600,47600,N
_225_,NOR2_X1,PLACED,81320,44800,82460,47600,N
_226_,XOR2_X1,PLACED,80940,39200,83220,42000,N
_227_,NAND2_X1,PLACED,72580,44800,73720,47600,N
_228_,AND2_X1,PLACED,72200,36400,73720,39200,FS
_229_,XNOR2_X1,PLACED,71820,42000,74100,44800,FS
_230_,NAND2_X1,PLACED,71820,30800,72960,33600,FS
_231_,NOR2_X1,PLACED,71820,22400,72960,25200,N
_232_,AND2_X1,PLACED,83980,33600,85500,36400,N
_233_,NAND2_X1,PLACED,94240,30800,95380,33600,FS
_234_,NOR2_X1,PLACED,104120,30800,105260,33600,FS
_235_,NOR2_X1,PLACED,95000,28000,96140,30800,N
_236_,XOR2_X1,PLACED,96520,28000,98800,30800,N
_237_,OAI21_X1,PLACED,93480,28000,95000,30800,N
_238_,OR2_X1,PLACED,82840,28000,84360,30800,N
_239_,XNOR2_X1,PLACED,83980,22400,86260,25200,N
_240_,AOI21_X1,PLACED,84360,28000,85880,30800,N
_241_,AOI21_X1,PLACED,74100,28000,75620,30800,N
_242_,AOI211_X1,PLACED,73340,30800,75240,33600,FS
_243_,XOR2_X1,PLACED,72580,50400,74860,53200,N
_244_,OAI21_X1,PLACED,74100,39200,75620,42000,N
_245_,AND2_X1,PLACED,76380,42000,77900,44800,FS
_246_,OAI21_X1,PLACED,79420,44800,80940,47600,N
_247_,OAI21_X1,PLACED,81320,58800,82840,61600,FS
_248_,OAI21_X1,PLACED,88540,58800,90060,61600,FS
_249_,OAI21_X1,PLACED,101080,64400,102600,67200,FS
_250_,OAI21_X1,PLACED,106400,61600,107920,64400,N
_251_,OAI21_X1,PLACED,107160,53200,108680,56000,FS
_252_,OAI211_X1,PLACED,107540,39200,109440,42000,N
_253_,NAND2_X1,PLACED,113620,39200,114760,42000,N
_254_,NAND3_X1,PLACED,115900,44800,117420,47600,N
_255_,AND3_X1,PLACED,119320,39200,121220,42000,N
_256_,OR2_X1,PLACED,126160,33600,127680,36400,N
_257_,OAI21_X1,PLACED,125400,36400,126920,39200,FS
_258_,AND4_X1,PLACED,121220,33600,123500,36400,N
_259_,OR2_X1,PLACED,90820,50400,92340,53200,N
_260_,MUX2_X1,PLACED,102980,25200,105640,28000,FS
_261_,MUX2_X1,PLACED,102600,28000,105260,30800,N
_262_,MUX2_X1,PLACED,98040,22400,100700,25200,N
_263_,MUX2_X1,PLACED,96520,25200,99180,28000,FS
_264_,MUX2_X1,PLACED,82460,25200,85120,28000,FS
_265_,MUX2_X1,PLACED,80940,33600,83600,36400,N
_266_,MUX2_X1,PLACED,70680,25200,73340,28000,FS
_267_,MUX2_X1,PLACED,68400,33600,71060,36400,N
_268_,MUX2_X1,PLACED,71060,33600,73720,36400,N
_269_,MUX2_X1,PLACED,68780,36400,71440,39200,FS
_270_,MUX2_X1,PLACED,69920,44800,72580,47600,N
_271_,MUX2_X1,PLACED,69160,47600,71820,50400,FS
_272_,MUX2_X1,PLACED,81320,50400,83980,53200,N
_273_,MUX2_X1,PLACED,77900,42000,80560,44800,FS
_274_,MUX2_X1,PLACED,77520,53200,80180,56000,FS
_275_,MUX2_X1,PLACED,69920,56000,72580,58800,N
_276_,MUX2_X1,PLACED,88540,53200,91200,56000,FS
_277_,MUX2_X1,PLACED,87400,56000,90060,58800,N
_278_,MUX2_X1,PLACED,94620,53200,97280,56000,FS
_279_,MUX2_X1,PLACED,95760,56000,98420,58800,N
_280_,MUX2_X1,PLACED,109060,56000,111720,58800,N
_281_,MUX2_X1,PLACED,106400,56000,109060,58800,N
_282_,MUX2_X1,PLACED,102220,47600,104880,50400,FS
_283_,MUX2_X1,PLACED,103360,56000,106020,58800,N
_284_,MUX2_X1,PLACED,96520,42000,99180,44800,FS
_285_,MUX2_X1,PLACED,96900,39200,99560,42000,N
_286_,MUX2_X1,PLACED,118560,47600,121220,50400,FS
_287_,MUX2_X1,PLACED,120080,58800,122740,61600,FS
_288_,MUX2_X1,PLACED,125780,39200,128440,42000,N
_289_,MUX2_X1,PLACED,126920,44800,129580,47600,N
_290_,MUX2_X1,PLACED,126540,22400,129200,25200,N
_291_,MUX2_X1,PLACED,127680,28000,130340,30800,N
_292_,NOR4_X1,PLACED,97660,30800,99560,33600,FS
_293_,NAND2_X1,PLACED,116280,30800,117420,33600,FS
_294_,NOR4_X1,PLACED,122360,47600,124260,50400,FS
_295_,NOR4_X1,PLACED,104880,53200,106780,56000,FS
_296_,NOR4_X1,PLACED,71820,47600,73720,50400,FS
