name,num,type,is_routing,is_cut,direction,width,pitch
poly,1,MS,False,False,NOT_APPLICABLE,0,
active,2,MS,False,False,NOT_APPLICABLE,0,
metal1,3,ROUTING,True,False,HORIZONTAL,140,280
via1,4,CUT,False,True,NOT_APPLICABLE,140,
metal2,5,ROUTING,True,False,VERTICAL,140,380
via2,6,CUT,False,True,NOT_APPLICABLE,140,
metal3,7,ROUTING,True,False,HORIZONTAL,140,280
via3,8,CUT,False,True,NOT_APPLICABLE,140,
metal4,9,ROUTING,True,False,VERTICAL,280,560
via4,10,CUT,False,True,NOT_APPLICABLE,280,
metal5,11,ROUTING,True,False,HORIZONTAL,280,560
via5,12,CUT,False,True,NOT_APPLICABLE,280,
metal6,13,ROUTING,True,False,VERTICAL,280,560
via6,14,CUT,False,True,NOT_APPLICABLE,280,
metal7,15,ROUTING,True,False,HORIZONTAL,800,1600
via7,16,CUT,False,True,NOT_APPLICABLE,800,
metal8,17,ROUTING,True,False,VERTICAL,800,1600
via8,18,CUT,False,True,NOT_APPLICABLE,800,
metal9,19,ROUTING,True,False,HORIZONTAL,1600,3200
via9,20,CUT,False,True,NOT_APPLICABLE,1600,
metal10,21,ROUTING,True,False,VERTICAL,1600,3200
OVERLAP,22,OVERLAP,False,False,NOT_APPLICABLE,0,
