name,class,major_class,pin_count,area_um2,width_dbu,height_dbu,is_std_cell,is_physical_cell,is_pad,is_block,is_cover
AND2_X1,CORE,CORE,5,1.064,1520,2800,True,False,False,False,False
AND2_X2,CORE,CORE,5,1.33,1900,2800,True,False,False,False,False
AND2_X4,CORE,CORE,5,2.394,3420,2800,True,False,False,False,False
AND3_X1,CORE,CORE,6,1.33,1900,2800,True,False,False,False,False
AND3_X2,CORE,CORE,6,1.596,2280,2800,True,False,False,False,False
AND3_X4,CORE,CORE,6,2.926,4180,2800,True,False,False,False,False
AND4_X1,CORE,CORE,7,1.596,2280,2800,True,False,False,False,False
AND4_X2,CORE,CORE,7,1.862,2660,2800,True,False,False,False,False
AND4_X4,CORE,CORE,7,3.458,4940,2800,True,False,False,False,False
ANTENNA_X1,CORE_ANTENNACELL,CORE,3,0.266,380,2800,True,False,False,False,False
AOI211_X1,CORE,CORE,7,1.33,1900,2800,True,False,False,False,False
AOI211_X2,CORE,CORE,7,2.394,3420,2800,True,False,False,False,False
AOI211_X4,CORE,CORE,7,2.926,4180,2800,True,False,False,False,False
AOI21_X1,CORE,CORE,6,1.064,1520,2800,True,False,False,False,False
AOI21_X2,CORE,CORE,6,1.862,2660,2800,True,False,False,False,False
AOI21_X4,CORE,CORE,6,3.458,4940,2800,True,False,False,False,False
AOI221_X1,CORE,CORE,8,1.596,2280,2800,True,False,False,False,False
AOI221_X2,CORE,CORE,8,2.926,4180,2800,True,False,False,False,False
AOI221_X4,CORE,CORE,8,3.458,4940,2800,True,False,False,False,False
AOI222_X1,CORE,CORE,9,2.128,3040,2800,True,False,False,False,False
AOI222_X2,CORE,CORE,9,3.724,5320,2800,True,False,False,False,False
AOI222_X4,CORE,CORE,9,3.724,5320,2800,True,False,False,False,False
AOI22_X1,CORE,CORE,7,1.33,1900,2800,True,False,False,False,False
AOI22_X2,CORE,CORE,7,2.394,3420,2800,True,False,False,False,False
AOI22_X4,CORE,CORE,7,4.522,6460,2800,True,False,False,False,False
BUF_X1,CORE,CORE,4,0.798,1140,2800,True,False,False,False,False
BUF_X16,CORE,CORE,4,6.65,9500,2800,True,False,False,False,False
BUF_X2,CORE,CORE,4,1.064,1520,2800,True,False,False,False,False
BUF_X32,CORE,CORE,4,13.034,18620,2800,True,False,False,False,False
BUF_X4,CORE,CORE,4,1.862,2660,2800,True,False,False,False,False
BUF_X8,CORE,CORE,4,3.458,4940,2800,True,False,False,False,False
CLKBUF_X1,CORE,CORE,4,0.798,1140,2800,True,False,False,False,False
CLKBUF_X2,CORE,CORE,4,1.064,1520,2800,True,False,False,False,False
CLKBUF_X3,CORE,CORE,4,1.33,1900,2800,True,False,False,False,False
CLKGATETST_X1,CORE,CORE,6,3.99,5700,2800,True,False,False,False,False
CLKGATETST_X2,CORE,CORE,6,4.256,6080,2800,True,False,False,False,False
CLKGATETST_X4,CORE,CORE,6,5.32,7600,2800,True,False,False,False,False
CLKGATETST_X8,CORE,CORE,6,7.714,11020,2800,True,False,False,False,False
CLKGATE_X1,CORE,CORE,5,3.458,4940,2800,True,False,False,False,False
CLKGATE_X2,CORE,CORE,5,3.724,5320,2800,True,False,False,False,False
CLKGATE_X4,CORE,CORE,5,4.522,6460,2800,True,False,False,False,False
CLKGATE_X8,CORE,CORE,5,6.916,9880,2800,True,False,False,False,False
DFFRS_X1,CORE,CORE,8,6.384,9120,2800,True,False,False,False,False
DFFRS_X2,CORE,CORE,8,6.916,9880,2800,True,False,False,False,False
DFFR_X1,CORE,CORE,7,5.32,7600,2800,True,False,False,False,False
DFFR_X2,CORE,CORE,7,5.852,8360,2800,True,False,False,False,False
DFFS_X1,CORE,CORE,7,5.32,7600,2800,True,False,False,False,False
DFFS_X2,CORE,CORE,7,5.586,7980,2800,True,False,False,False,False
DFF_X1,CORE,CORE,6,4.522,6460,2800,True,False,False,False,False
DFF_X2,CORE,CORE,6,5.054,7220,2800,True,False,False,False,False
DLH_X1,CORE,CORE,5,2.66,3800,2800,True,False,False,False,False
DLH_X2,CORE,CORE,5,2.926,4180,2800,True,False,False,False,False
DLL_X1,CORE,CORE,5,2.66,3800,2800,True,False,False,False,False
DLL_X2,CORE,CORE,5,2.926,4180,2800,True,False,False,False,False
FA_X1,CORE,CORE,7,4.256,6080,2800,True,False,False,False,False
TAPCELL_X1,CORE_WELLTAP,CORE,2,0.266,380,2800,False,True,False,False,False
FILLCELL_X1,CORE_SPACER,CORE,2,0.266,380,2800,False,True,False,False,False
FILLCELL_X16,CORE_SPACER,CORE,2,4.256,6080,2800,False,True,False,False,False
FILLCELL_X2,CORE_SPACER,CORE,2,0.532,760,2800,False,True,False,False,False
FILLCELL_X32,CORE_SPACER,CORE,2,8.512,12160,2800,False,True,False,False,False
FILLCELL_X4,CORE_SPACER,CORE,2,1.064,1520,2800,False,True,False,False,False
FILLCELL_X8,CORE_SPACER,CORE,2,2.128,3040,2800,False,True,False,False,False
HA_X1,CORE,CORE,6,2.66,3800,2800,True,False,False,False,False
INV_X1,CORE,CORE,4,0.532,760,2800,True,False,False,False,False
INV_X16,CORE,CORE,4,4.522,6460,2800,True,False,False,False,False
INV_X2,CORE,CORE,4,0.798,1140,2800,True,False,False,False,False
INV_X32,CORE,CORE,4,8.778,12540,2800,True,False,False,False,False
INV_X4,CORE,CORE,4,1.33,1900,2800,True,False,False,False,False
INV_X8,CORE,CORE,4,2.394,3420,2800,True,False,False,False,False
LOGIC0_X1,CORE,CORE,3,0.532,760,2800,True,False,False,False,False
LOGIC1_X1,CORE,CORE,3,0.532,760,2800,True,False,False,False,False
MUX2_X1,CORE,CORE,6,1.862,2660,2800,True,False,False,False,False
MUX2_X2,CORE,CORE,6,2.394,3420,2800,True,False,False,False,False
NAND2_X1,CORE,CORE,5,0.798,1140,2800,True,False,False,False,False
NAND2_X2,CORE,CORE,5,1.33,1900,2800,True,False,False,False,False
NAND2_X4,CORE,CORE,5,2.394,3420,2800,True,False,False,False,False
NAND3_X1,CORE,CORE,6,1.064,1520,2800,True,False,False,False,False
NAND3_X2,CORE,CORE,6,1.862,2660,2800,True,False,False,False,False
NAND3_X4,CORE,CORE,6,3.458,4940,2800,True,False,False,False,False
NAND4_X1,CORE,CORE,7,1.33,1900,2800,True,False,False,False,False
NAND4_X2,CORE,CORE,7,2.394,3420,2800,True,False,False,False,False
NAND4_X4,CORE,CORE,7,4.788,6840,2800,True,False,False,False,False
NOR2_X1,CORE,CORE,5,0.798,1140,2800,True,False,False,False,False
NOR2_X2,CORE,CORE,5,1.33,1900,2800,True,False,False,False,False
NOR2_X4,CORE,CORE,5,2.394,3420,2800,True,False,False,False,False
NOR3_X1,CORE,CORE,6,1.064,1520,2800,True,False,False,False,False
NOR3_X2,CORE,CORE,6,1.862,2660,2800,True,False,False,False,False
NOR3_X4,CORE,CORE,6,3.724,5320,2800,True,False,False,False,False
NOR4_X1,CORE,CORE,7,1.33,1900,2800,True,False,False,False,False
NOR4_X2,CORE,CORE,7,2.394,3420,2800,True,False,False,False,False
NOR4_X4,CORE,CORE,7,4.788,6840,2800,True,False,False,False,False
OAI211_X1,CORE,CORE,7,1.33,1900,2800,True,False,False,False,False
OAI211_X2,CORE,CORE,7,2.394,3420,2800,True,False,False,False,False
OAI211_X4,CORE,CORE,7,4.522,6460,2800,True,False,False,False,False
OAI21_X1,CORE,CORE,6,1.064,1520,2800,True,False,False,False,False
OAI21_X2,CORE,CORE,6,1.862,2660,2800,True,False,False,False,False
OAI21_X4,CORE,CORE,6,3.458,4940,2800,True,False,False,False,False
OAI221_X1,CORE,CORE,8,1.596,2280,2800,True,False,False,False,False
OAI221_X2,CORE,CORE,8,2.926,4180,2800,True,False,False,False,False
OAI221_X4,CORE,CORE,8,3.458,4940,2800,True,False,False,False,False
OAI222_X1,CORE,CORE,9,2.128,3040,2800,True,False,False,False,False
OAI222_X2,CORE,CORE,9,3.724,5320,2800,True,False,False,False,False
OAI222_X4,CORE,CORE,9,3.724,5320,2800,True,False,False,False,False
OAI22_X1,CORE,CORE,7,1.33,1900,2800,True,False,False,False,False
OAI22_X2,CORE,CORE,7,2.394,3420,2800,True,False,False,False,False
OAI22_X4,CORE,CORE,7,4.522,6460,2800,True,False,False,False,False
OAI33_X1,CORE,CORE,9,1.862,2660,2800,True,False,False,False,False
OR2_X1,CORE,CORE,5,1.064,1520,2800,True,False,False,False,False
OR2_X2,CORE,CORE,5,1.33,1900,2800,True,False,False,False,False
OR2_X4,CORE,CORE,5,2.394,3420,2800,True,False,False,False,False
OR3_X1,CORE,CORE,6,1.33,1900,2800,True,False,False,False,False
OR3_X2,CORE,CORE,6,1.596,2280,2800,True,False,False,False,False
OR3_X4,CORE,CORE,6,2.926,4180,2800,True,False,False,False,False
OR4_X1,CORE,CORE,7,1.596,2280,2800,True,False,False,False,False
OR4_X2,CORE,CORE,7,1.862,2660,2800,True,False,False,False,False
OR4_X4,CORE,CORE,7,3.458,4940,2800,True,False,False,False,False
SDFFRS_X1,CORE,CORE,10,7.714,11020,2800,True,False,False,False,False
SDFFRS_X2,CORE,CORE,10,8.246,11780,2800,True,False,False,False,False
SDFFR_X1,CORE,CORE,9,6.65,9500,2800,True,False,False,False,False
SDFFR_X2,CORE,CORE,9,6.916,9880,2800,True,False,False,False,False
SDFFS_X1,CORE,CORE,9,6.65,9500,2800,True,False,False,False,False
SDFFS_X2,CORE,CORE,9,7.182,10260,2800,True,False,False,False,False
SDFF_X1,CORE,CORE,8,6.118,8740,2800,True,False,False,False,False
SDFF_X2,CORE,CORE,8,6.384,9120,2800,True,False,False,False,False
TBUF_X1,CORE,CORE,5,2.128,3040,2800,True,False,False,False,False
TBUF_X16,CORE,CORE,5,6.916,9880,2800,True,False,False,False,False
TBUF_X2,CORE,CORE,5,2.394,3420,2800,True,False,False,False,False
TBUF_X4,CORE,CORE,5,2.926,4180,2800,True,False,False,False,False
TBUF_X8,CORE,CORE,5,4.788,6840,2800,True,False,False,False,False
TINV_X1,CORE,CORE,5,1.064,1520,2800,True,False,False,False,False
TLAT_X1,CORE,CORE,6,3.458,4940,2800,True,False,False,False,False
XNOR2_X1,CORE,CORE,5,1.596,2280,2800,True,False,False,False,False
XNOR2_X2,CORE,CORE,5,2.66,3800,2800,True,False,False,False,False
XOR2_X1,CORE,CORE,5,1.596,2280,2800,True,False,False,False,False
XOR2_X2,CORE,CORE,5,2.394,3420,2800,True,False,False,False,False
