name,bottom,cut,top,is_default,is_generated
via1_4,metal1,via1,metal2,True,False
via1_0,metal1,via1,metal2,True,False
via1_1,metal1,via1,metal2,True,False
via1_2,metal1,via1,metal2,True,False
via1_3,metal1,via1,metal2,True,False
via1_5,metal1,via1,metal2,True,False
via1_6,metal1,via1,metal2,True,False
via1_7,metal1,via1,metal2,True,False
via1_8,metal1,via1,metal2,True,False
via2_8,metal2,via2,metal3,True,False
via2_4,metal2,via2,metal3,True,False
via2_5,metal2,via2,metal3,True,False
via2_7,metal2,via2,metal3,True,False
via2_6,metal2,via2,metal3,True,False
via2_0,metal2,via2,metal3,True,False
via2_1,metal2,via2,metal3,True,False
via2_2,metal2,via2,metal3,True,False
via2_3,metal2,via2,metal3,True,False
via3_2,metal3,via3,metal4,True,False
via3_0,metal3,via3,metal4,True,False
via3_1,metal3,via3,metal4,True,False
via4_0,metal4,via4,metal5,True,False
via5_0,metal5,via5,metal6,True,False
via6_0,metal6,via6,metal7,True,False
via7_0,metal7,via7,metal8,True,False
via8_0,metal8,via8,metal9,True,False
via9_0,metal9,via9,metal10,True,False
