full_name,ref_name,degree,cell_class
FE_DBTC9_n_1865,INV_X1,2,stdcell
FE_DBTC8_dpath_a_reg_out_7,INV_X1,2,stdcell
FE_DBTC7_dpath_a_reg_out_2,INV_X1,2,stdcell
FE_DBTC6_dpath_a_reg_out_0,INV_X1,2,stdcell
FE_DBTC5_dpath_b_reg_out_12,INV_X1,2,stdcell
FE_DBTC4_dpath_b_reg_out_4,INV_X1,2,stdcell
FE_DBTC3_n_2127,INV_X1,2,stdcell
FE_DBTC2_n_1173,INV_X1,2,stdcell
FE_DBTC1_n_2149,INV_X1,2,stdcell
FE_DBTC0_n_2200,INV_X1,2,stdcell
dpath_a_reg_out_reg[10],DFF_X1,4,stdcell
dpath_a_reg_out_reg[11],DFF_X1,4,stdcell
dpath_a_reg_out_reg[14],DFF_X1,4,stdcell
dpath_a_reg_out_reg[13],DFF_X1,4,stdcell
dpath_a_reg_out_reg[12],DFF_X1,4,stdcell
dpath_a_reg_out_reg[15],DFF_X1,4,stdcell
dpath_a_reg_out_reg[9],DFF_X1,4,stdcell
dpath_a_reg_out_reg[8],DFF_X1,4,stdcell
dpath_a_reg_out_reg[7],DFF_X1,4,stdcell
dpath_a_reg_out_reg[4],DFF_X1,4,stdcell
dpath_a_reg_out_reg[5],DFF_X1,4,stdcell
dpath_a_reg_out_reg[3],DFF_X1,4,stdcell
dpath_a_reg_out_reg[6],DFF_X1,4,stdcell
dpath_a_reg_out_reg[2],DFF_X1,4,stdcell
dpath_a_reg_out_reg[0],DFF_X1,4,stdcell
dpath_a_reg_out_reg[1],DFF_X1,4,stdcell
g13664__3680,OAI221_X1,6,stdcell
g13663__2802,OAI221_X1,6,stdcell
dpath_b_reg_out_reg[1],DFF_X1,4,stdcell
dpath_b_reg_out_reg[0],DFF_X1,4,stdcell
dpath_b_reg_out_reg[11],DFF_X1,4,stdcell
dpath_b_reg_out_reg[4],DFF_X1,4,stdcell
dpath_b_reg_out_reg[15],DFF_X1,4,stdcell
dpath_b_reg_out_reg[5],DFF_X1,4,stdcell
dpath_b_reg_out_reg[2],DFF_X1,4,stdcell
dpath_b_reg_out_reg[3],DFF_X1,4,stdcell
dpath_b_reg_out_reg[6],DFF_X1,4,stdcell
g13662__1705,OAI221_X1,6,stdcell
g13661__5122,OAI221_X1,6,stdcell
g13660__8246,OAI221_X1,6,stdcell
g13649__7098,OAI221_X1,6,stdcell
g13658__6131,OAI221_X1,6,stdcell
g13659__1881,OAI221_X1,6,stdcell
dpath_b_reg_out_reg[12],DFF_X1,4,stdcell
dpath_b_reg_out_reg[14],DFF_X1,4,stdcell
dpath_b_reg_out_reg[13],DFF_X1,4,stdcell
dpath_b_reg_out_reg[9],DFF_X1,4,stdcell
dpath_b_reg_out_reg[7],DFF_X1,4,stdcell
dpath_b_reg_out_reg[8],DFF_X1,4,stdcell
dpath_b_reg_out_reg[10],DFF_X1,4,stdcell
g13671__5115,OAI22_X1,5,stdcell
g13667__7482,OAI22_X1,5,stdcell
g13668__4733,OAI22_X1,5,stdcell
g13669__6161,OAI22_X1,5,stdcell
g13673__2346,OAI22_X1,5,stdcell
g13674__1666,OAI22_X1,5,stdcell
g13679__2398,OAI22_X1,5,stdcell
g13693,INV_X1,2,stdcell
g13692,INV_X1,2,stdcell
g13697__2802,XNOR2_X1,3,stdcell
g13691,INV_X1,2,stdcell
g13696__1705,XNOR2_X1,3,stdcell
g13695__5122,XNOR2_X1,3,stdcell
g13708,INV_X1,2,stdcell
g13706__4733,OAI211_X1,5,stdcell
g13710,INV_X1,2,stdcell
g13709,INV_X1,2,stdcell
g13717__7410,XNOR2_X1,3,stdcell
ctrl_state_out_reg[0],DFF_X1,4,stdcell
ctrl_state_out_reg[1],DFF_X1,4,stdcell
g13727,INV_X1,2,stdcell
g13744__4319,NAND2_X1,3,stdcell
g13721,INV_X1,2,stdcell
g13725__8428,AOI21_X1,4,stdcell
g13737__6783,NOR2_X1,3,stdcell
g13734__3680,XNOR2_X1,3,stdcell
g13722__2802,XNOR2_X1,3,stdcell
g13735__1705,AOI21_X1,4,stdcell
g13749__8246,AOI21_X1,4,stdcell
g13740,INV_X1,2,stdcell
g13745__7098,NAND2_X1,3,stdcell
g13748__6131,OAI21_X1,4,stdcell
g13757,INV_X1,2,stdcell
g13755__1881,NOR2_X1,3,stdcell
g13766__5115,OAI21_X1,4,stdcell
g13739__7482,OAI21_X1,4,stdcell
g13742__4733,XNOR2_X1,3,stdcell
g13754__6161,NOR2_X1,3,stdcell
g13767__9315,XNOR2_X1,3,stdcell
g13770,INV_X1,2,stdcell
g13775,INV_X1,2,stdcell
g13772__5107,NAND4_X1,5,stdcell
g13774,INV_X1,2,stdcell
g13829__8428,AOI21_X1,4,stdcell
g13845__5526,OAI21_X1,4,stdcell
g13756__6783,NAND2_X1,3,stdcell
g13789__2802,NAND3_X1,4,stdcell
g13826__1705,NOR2_X1,3,stdcell
g13823,INV_X1,2,stdcell
g13834__7098,NOR2_X1,3,stdcell
g13819__6131,AOI22_X1,5,stdcell
g13846__5115,NAND2_X1,3,stdcell
g13816__6161,AOI22_X1,5,stdcell
g13801__2346,AOI22_X1,5,stdcell
g13814__5477,AOI22_X1,5,stdcell
g13807__2398,AOI22_X1,5,stdcell
g13808__5107,AOI22_X1,5,stdcell
g13810__4319,AOI22_X1,5,stdcell
g13811__8428,AOI22_X1,5,stdcell
g13813__5526,AOI22_X1,5,stdcell
g13825__6783,AND2_X1,3,stdcell
g13815__3680,AOI22_X1,5,stdcell
g13818__2802,AOI22_X1,5,stdcell
g13820__1705,AOI22_X1,5,stdcell
g13821__5122,AOI22_X1,5,stdcell
g13822__8246,AOI22_X1,5,stdcell
g13844__1881,NOR2_X1,3,stdcell
g13847__5115,NOR2_X1,3,stdcell
g13785__7482,AOI22_X1,5,stdcell
g13858,INV_X1,2,stdcell
g13782__6161,AOI22_X1,5,stdcell
g13839__9315,AND4_X1,5,stdcell
g13781__9945,AOI22_X1,5,stdcell
g13804__7410,AOI22_X1,5,stdcell
g13791__6417,AOI22_X1,5,stdcell
g13792__5477,AOI22_X1,5,stdcell
g13793__2398,AOI22_X1,5,stdcell
g13794__5107,AOI22_X1,5,stdcell
g13803__4319,AOI22_X1,5,stdcell
g13788__8428,AOI22_X1,5,stdcell
g13805__5526,AOI22_X1,5,stdcell
g13806__6783,AOI22_X1,5,stdcell
g13835__3680,NAND2_X1,3,stdcell
g13812__1617,AOI22_X1,5,stdcell
g13786__2802,AOI22_X1,5,stdcell
g13885,INV_X1,2,stdcell
g13879,INV_X1,2,stdcell
g13853,INV_X1,2,stdcell
g13824__8246,NAND2_X1,3,stdcell
g13857,INV_X1,2,stdcell
g13860,INV_X1,2,stdcell
g13841__7098,AOI21_X1,4,stdcell
g13877__9945,NAND2_X1,3,stdcell
g13892__2883,NOR2_X1,3,stdcell
g13898__7410,OR2_X2,3,stdcell
g13904__2398,NOR2_X1,3,stdcell
g13891__8428,NOR2_X1,3,stdcell
g13838__5526,AND4_X1,5,stdcell
g13895__3680,NAND2_X1,3,stdcell
g13868__1617,AND2_X1,3,stdcell
g13871__5115,NAND2_X1,3,stdcell
g13901__7482,OR2_X2,3,stdcell
g13909,INV_X1,2,stdcell
g13934,INV_X1,2,stdcell
g13911,INV_X1,2,stdcell
g13932,INV_X1,2,stdcell
g13947,INV_X1,2,stdcell
g13948,INV_X1,2,stdcell
g13916,INV_X1,2,stdcell
g13922,INV_X1,2,stdcell
g13931,INV_X1,2,stdcell
g13914,INV_X1,2,stdcell
g13941,INV_X1,2,stdcell
g13912,INV_X1,2,stdcell
fopt2,INV_X1,2,stdcell
g14024,INV_X1,2,stdcell
g14030,INV_X1,2,stdcell
g14033,INV_X1,2,stdcell
fopt14054,INV_X1,2,stdcell
g13644__14055,OAI221_X1,6,stdcell
g13840__14058,AND4_X1,5,stdcell
g13672__14078,OAI22_X1,5,stdcell
g13680__14103,OAI22_X1,5,stdcell
g13893__14104,OR2_X1,3,stdcell
g13681__14106,OAI22_X1,5,stdcell
g13677__14112,OAI22_X1,5,stdcell
g13900__14113,OR2_X2,3,stdcell
g13666__14114,OAI22_X1,5,stdcell
g13873__14115,AND2_X1,3,stdcell
g13894__14116,NOR2_X1,3,stdcell
g13670__14117,OAI22_X1,5,stdcell
g13678__14125,OAI22_X1,5,stdcell
g13906__14126,AND2_X2,3,stdcell
g14147,INV_X1,2,stdcell
g13843__14150,NAND2_X1,3,stdcell
g13833__14154,NAND2_X1,3,stdcell
fopt14165,INV_X1,2,stdcell
g13849__14166,AND2_X1,3,stdcell
g13704__14174,OAI21_X1,4,stdcell
g13828__14179,NOR2_X1,3,stdcell
g13764__14182,AOI21_X1,4,stdcell
g13784__14183,OAI21_X1,4,stdcell
g13743__14186,OAI21_X1,4,stdcell
g13687__14223,XNOR2_X1,3,stdcell
g14224,XOR2_X1,3,stdcell
g13694__14225,XNOR2_X1,3,stdcell
g13676__14241,OAI22_X1,5,stdcell
g13864__14243,NAND2_X1,3,stdcell
g443,OAI21_X1,4,stdcell
