ref_name,count,percentage
NAND2_X1,8696,21.81
INV_X1,4655,11.68
NOR2_X1,4105,10.3
XNOR2_X1,3664,9.19
SDFF_X1,3021,7.58
AND2_X1,2719,6.82
OAI21_X1,2263,5.68
FA_X1,2173,5.45
AOI21_X1,1616,4.05
DFF_X1,1307,3.28
OAI221_X1,1167,2.93
OR2_X1,767,1.92
XOR2_X1,741,1.86
OAI22_X1,570,1.43
AOI22_X1,489,1.23
NAND3_X1,360,0.9
OAI211_X1,284,0.71
AOI221_X1,199,0.5
NOR3_X1,156,0.39
NOR4_X1,147,0.37
AND3_X1,138,0.35
NAND4_X1,87,0.22
MUX2_X1,74,0.19
OR3_X1,64,0.16
AOI211_X1,63,0.16
OAI222_X1,59,0.15
HA_X1,45,0.11
OAI33_X1,39,0.1
SDFF_X2,36,0.09
DFFR_X1,30,0.08
SDFFR_X1,25,0.06
AOI222_X1,22,0.06
AND4_X1,15,0.04
OR4_X1,13,0.03
AND3_X2,11,0.03
NOR2_X2,9,0.02
DFFR_X2,8,0.02
INV_X2,7,0.02
INV_X4,6,0.02
OAI21_X2,5,0.01
AND2_X2,4,0.01
SDFFS_X1,2,0.01
DFF_X2,1,0.0
OR2_X4,1,0.0
AND2_X4,1,0.0
AOI21_X2,1,0.0
OR2_X2,1,0.0
