full_name,ref_name,degree,cell_class
FE_DBTC29_qnr_divider_n_21,INV_X1,2,stdcell
FE_DBTC28_qnr_divider_n_18,INV_X1,2,stdcell
FE_DBTC27_qnr_divider_n_29,INV_X1,2,stdcell
FE_DBTC26_n_147,INV_X4,2,stdcell
FE_DBTC25_n_33448,INV_X1,2,stdcell
FE_DBTC24_n_33444,INV_X1,2,stdcell
FE_DBTC23_n_33445,INV_X2,2,stdcell
FE_DBTC22_n_33446,INV_X1,2,stdcell
FE_DBTC21_rle_rz1_n_731,INV_X2,2,stdcell
FE_DBTC20_fdct_zigzag_dct_mod_ddin_8,INV_X1,2,stdcell
FE_DBTC19_fdct_zigzag_dct_mod_ddin_6,INV_X1,2,stdcell
FE_DBTC18_fdct_zigzag_dct_mod_ddin_4,INV_X1,2,stdcell
FE_DBTC17_fdct_zigzag_dct_mod_ddin_2,INV_X1,2,stdcell
FE_DBTC16_fdct_zigzag_dct_mod_ddin_1,INV_X1,2,stdcell
FE_DBTC15_fdct_zigzag_dct_mod_dct_block_4_dct_unit_1_macu_mul_100_27_n_148,INV_X1,2,stdcell
FE_DBTC14_n_4634,INV_X1,2,stdcell
FE_DBTC13_n_24355,INV_X1,2,stdcell
FE_DBTC12_fdct_zigzag_dct_mod_ddgo,INV_X1,2,stdcell
FE_DBTC11_n_4626,INV_X1,2,stdcell
FE_DBTC10_n_4628,INV_X1,2,stdcell
FE_DBTC9_n_1219,INV_X2,2,stdcell
FE_DBTC8_n_4632,INV_X1,2,stdcell
FE_DBTC7_n_4633,INV_X1,2,stdcell
FE_DBTC6_n_4636,INV_X1,2,stdcell
FE_DBTC5_n_14045,INV_X1,2,stdcell
FE_DBTC4_n_32691,INV_X1,2,stdcell
FE_DBTC3_n_31276,INV_X1,2,stdcell
FE_DBTC2_n_24798,INV_X1,2,stdcell
FE_DBTC1_n_29742,INV_X1,2,stdcell
FE_DBTC0_n_30667,INV_X1,2,stdcell
g49074,INV_X1,2,stdcell
rle_ddstrb_reg,DFF_X1,4,stdcell
g57797,AND2_X1,3,stdcell
g57798,AND2_X1,3,stdcell
g57799,AND2_X1,3,stdcell
g57800,AND2_X1,3,stdcell
g57801,AND2_X1,3,stdcell
g57802,AND2_X1,3,stdcell
g57803,AND2_X1,3,stdcell
g57804,AND2_X1,3,stdcell
g57805,AND2_X1,3,stdcell
g57806,AND2_X1,3,stdcell
g57807,AND2_X1,3,stdcell
g57808,AND2_X1,3,stdcell
g57809,AND2_X1,3,stdcell
g57810,AND2_X1,3,stdcell
g57811,AND2_X1,3,stdcell
g57812,AND2_X1,3,stdcell
g57813,AND2_X1,3,stdcell
g57814,AND2_X1,3,stdcell
g57815,AND2_X1,3,stdcell
g57816,AND2_X1,3,stdcell
g57817,AND2_X1,3,stdcell
g57818,AND2_X1,3,stdcell
g57819,AND2_X1,3,stdcell
g57820,AND2_X1,3,stdcell
g57821,AND2_X1,3,stdcell
g57822,AND2_X1,3,stdcell
g57823,AND2_X1,3,stdcell
g57824,AND2_X1,3,stdcell
g57825,AND2_X1,3,stdcell
g57826,AND2_X1,3,stdcell
g57827,AND2_X1,3,stdcell
g57828,AND2_X1,3,stdcell
g57829,AND2_X1,3,stdcell
g57830,AND2_X1,3,stdcell
g57831,AND2_X1,3,stdcell
g57832,AND2_X1,3,stdcell
g57833,AND2_X1,3,stdcell
g57834,AND2_X1,3,stdcell
g57835,AND2_X1,3,stdcell
g57836,AND2_X1,3,stdcell
g57837,AND2_X1,3,stdcell
g57838,AND2_X1,3,stdcell
g57839,AND2_X1,3,stdcell
g57840,AND2_X1,3,stdcell
g57841,AND2_X1,3,stdcell
g57842,AND2_X1,3,stdcell
g57843,AND2_X1,3,stdcell
g57844,AND2_X1,3,stdcell
g57845,AND2_X1,3,stdcell
g57846,AND2_X1,3,stdcell
g57847,AND2_X1,3,stdcell
g57848,AND2_X1,3,stdcell
g57849,AND2_X1,3,stdcell
g57850,AND2_X1,3,stdcell
g57851,AND2_X1,3,stdcell
g57852,AND2_X1,3,stdcell
g57853,AND2_X1,3,stdcell
g57854,AND2_X1,3,stdcell
g57855,AND2_X1,3,stdcell
g57856,AND2_X1,3,stdcell
g57857,AND2_X1,3,stdcell
g57858,AND2_X1,3,stdcell
g57859,AND2_X1,3,stdcell
g57860,AND2_X1,3,stdcell
g57861,AND2_X1,3,stdcell
g57862,AND2_X1,3,stdcell
g57863,AND2_X1,3,stdcell
