ref_name,count,percentage
AOI22_X1,415093,16.09
INV_X1,297685,11.54
NAND2_X1,228111,8.84
NOR2_X1,155990,6.05
OAI22_X1,155695,6.04
OAI21_X1,144713,5.61
DFFR_X1,107602,4.17
AOI21_X1,89637,3.48
FA_X1,87950,3.41
SDFFR_X1,86807,3.37
DLH_X1,83707,3.25
XNOR2_X1,77348,3.0
DFF_X1,64542,2.5
AND2_X1,63916,2.48
MUX2_X1,61088,2.37
OAI221_X1,51403,1.99
AOI221_X1,48791,1.89
NAND4_X1,40548,1.57
OR2_X1,37440,1.45
AOI222_X1,34236,1.33
XOR2_X1,33045,1.28
OAI211_X1,28588,1.11
NAND3_X1,27350,1.06
AND4_X1,21898,0.85
OAI222_X1,18935,0.73
NOR3_X1,15146,0.59
AND3_X1,11823,0.46
NOR4_X1,11456,0.44
SDFFR_X2,10055,0.39
AOI211_X1,9687,0.38
AND2_X2,8271,0.32
DLL_X1,6688,0.26
OR2_X2,5112,0.2
OR3_X1,4688,0.18
INV_X2,4359,0.17
OAI33_X1,3203,0.12
AND4_X2,3058,0.12
AND3_X2,2822,0.11
OR4_X1,2423,0.09
NOR2_X2,2132,0.08
HA_X1,1998,0.08
NAND2_X2,1182,0.05
OR2_X4,1157,0.04
DFFR_X2,1136,0.04
AND2_X4,1040,0.04
OAI221_X4,1019,0.04
MUX2_X2,787,0.03
OAI21_X2,761,0.03
OR3_X2,733,0.03
AOI22_X2,608,0.02
DFFS_X1,590,0.02
XNOR2_X2,565,0.02
AND3_X4,516,0.02
AOI21_X2,500,0.02
AOI211_X4,468,0.02
NOR3_X2,402,0.02
AOI221_X4,377,0.01
fakeram45_256x32,256,0.01
NAND3_X2,227,0.01
AND4_X4,209,0.01
INV_X4,193,0.01
OAI22_X2,157,0.01
XOR2_X2,135,0.01
OR4_X2,128,0.0
OR3_X4,103,0.0
DFF_X2,98,0.0
NAND4_X2,86,0.0
NOR2_X4,84,0.0
OAI222_X4,78,0.0
NOR4_X2,77,0.0
fakeram45_64x64,64,0.0
OAI211_X2,58,0.0
NAND2_X4,47,0.0
AOI211_X2,40,0.0
DFFS_X2,37,0.0
OAI221_X2,33,0.0
AOI222_X4,33,0.0
AOI221_X2,29,0.0
AOI22_X4,19,0.0
OAI21_X4,18,0.0
AOI21_X4,13,0.0
NOR3_X4,11,0.0
NAND3_X4,8,0.0
NAND4_X4,8,0.0
OR4_X4,8,0.0
INV_X8,5,0.0
DLH_X2,5,0.0
OAI22_X4,4,0.0
fakeram45_128x256,2,0.0
fakeram45_128x32,2,0.0
OAI222_X2,2,0.0
INV_X16,2,0.0
OAI211_X4,2,0.0
SDFFS_X1,1,0.0
NOR4_X4,1,0.0
AOI222_X2,1,0.0
