full_name,ref_name,degree
FE_DBTC27719_group_id_i_1,INV_X1,2
FE_DBTC27718_group_id_i_0,INV_X1,2
FE_DBTC27717_axi_dma_resp_3_r_id_1,INV_X1,2
FE_DBTC27716_tcdm_dma_req_15_wdata_data_255,INV_X1,2
FE_DBTC27715_tcdm_dma_req_15_wdata_data_251,INV_X1,2
FE_DBTC27714_tcdm_dma_req_15_wdata_data_247,INV_X1,2
FE_DBTC27713_tcdm_dma_req_15_wdata_data_246,INV_X1,2
FE_DBTC27712_tcdm_dma_req_15_wdata_data_245,INV_X1,2
FE_DBTC27711_tcdm_dma_req_15_wdata_data_243,INV_X1,2
FE_DBTC27710_tcdm_dma_req_15_wdata_data_240,INV_X1,2
FE_DBTC27709_tcdm_dma_req_15_wdata_data_238,INV_X1,2
FE_DBTC27708_tcdm_dma_req_15_wdata_data_237,INV_X1,2
FE_DBTC27707_tcdm_dma_req_15_wdata_data_236,INV_X1,2
FE_DBTC27706_tcdm_dma_req_15_wdata_data_235,INV_X1,2
FE_DBTC27705_tcdm_dma_req_15_wdata_data_234,INV_X1,2
FE_DBTC27704_tcdm_dma_req_15_wdata_data_232,INV_X1,2
FE_DBTC27703_tcdm_dma_req_15_wdata_data_230,INV_X1,2
FE_DBTC27702_tcdm_dma_req_15_wdata_data_229,INV_X1,2
FE_DBTC27701_tcdm_dma_req_15_wdata_data_227,INV_X1,2
FE_DBTC27700_tcdm_dma_req_15_wdata_data_226,INV_X1,2
FE_DBTC27699_tcdm_dma_req_15_wdata_data_225,INV_X1,2
FE_DBTC27698_tcdm_dma_req_15_wdata_data_224,INV_X1,2
FE_DBTC27697_tcdm_dma_req_15_wdata_data_223,INV_X1,2
FE_DBTC27696_tcdm_dma_req_15_wdata_data_222,INV_X1,2
FE_DBTC27695_tcdm_dma_req_15_wdata_data_221,INV_X1,2
FE_DBTC27694_tcdm_dma_req_15_wdata_data_220,INV_X1,2
FE_DBTC27693_tcdm_dma_req_15_wdata_data_219,INV_X1,2
FE_DBTC27692_tcdm_dma_req_15_wdata_data_218,INV_X1,2
FE_DBTC27691_tcdm_dma_req_15_wdata_data_217,INV_X1,2
FE_DBTC27690_tcdm_dma_req_15_wdata_data_216,INV_X1,2
FE_DBTC27689_tcdm_dma_req_15_wdata_data_215,INV_X1,2
FE_DBTC27688_tcdm_dma_req_15_wdata_data_214,INV_X1,2
FE_DBTC27687_tcdm_dma_req_15_wdata_data_213,INV_X1,2
FE_DBTC27686_tcdm_dma_req_15_wdata_data_212,INV_X1,2
FE_DBTC27685_tcdm_dma_req_15_wdata_data_211,INV_X1,2
FE_DBTC27684_tcdm_dma_req_15_wdata_data_210,INV_X1,2
FE_DBTC27683_tcdm_dma_req_15_wdata_data_209,INV_X1,2
FE_DBTC27682_tcdm_dma_req_15_wdata_data_208,INV_X1,2
FE_DBTC27681_tcdm_dma_req_15_wdata_data_206,INV_X1,2
FE_DBTC27680_tcdm_dma_req_15_wdata_data_205,INV_X1,2
FE_DBTC27679_tcdm_dma_req_15_wdata_data_204,INV_X1,2
FE_DBTC27678_tcdm_dma_req_15_wdata_data_202,INV_X1,2
FE_DBTC27677_tcdm_dma_req_15_wdata_data_201,INV_X1,2
FE_DBTC27676_tcdm_dma_req_15_wdata_data_200,INV_X1,2
FE_DBTC27675_tcdm_dma_req_15_wdata_data_199,INV_X1,2
FE_DBTC27674_tcdm_dma_req_15_wdata_data_198,INV_X1,2
FE_DBTC27673_tcdm_dma_req_15_wdata_data_197,INV_X1,2
FE_DBTC27672_tcdm_dma_req_15_wdata_data_195,INV_X1,2
FE_DBTC27671_tcdm_dma_req_15_wdata_data_194,INV_X1,2
FE_DBTC27670_tcdm_dma_req_15_wdata_data_193,INV_X1,2
FE_DBTC27669_tcdm_dma_req_15_wdata_data_192,INV_X1,2
FE_DBTC27668_tcdm_dma_req_15_wdata_data_191,INV_X1,2
FE_DBTC27667_tcdm_dma_req_15_wdata_data_184,INV_X1,2
FE_DBTC27666_tcdm_dma_req_15_wdata_data_183,INV_X1,2
FE_DBTC27665_tcdm_dma_req_15_wdata_data_175,INV_X1,2
FE_DBTC27664_tcdm_dma_req_15_wdata_data_172,INV_X1,2
FE_DBTC27663_tcdm_dma_req_15_wdata_data_167,INV_X1,2
FE_DBTC27662_tcdm_dma_req_15_wdata_data_164,INV_X1,2
FE_DBTC27661_tcdm_dma_req_15_wdata_data_161,INV_X1,2
FE_DBTC27660_tcdm_dma_req_15_wdata_data_159,INV_X1,2
FE_DBTC27659_tcdm_dma_req_15_wdata_data_158,INV_X1,2
FE_DBTC27658_tcdm_dma_req_15_wdata_data_156,INV_X1,2
FE_DBTC27657_tcdm_dma_req_15_wdata_data_147,INV_X1,2
FE_DBTC27656_tcdm_dma_req_15_wdata_data_144,INV_X1,2
FE_DBTC27655_tcdm_dma_req_15_wdata_data_142,INV_X1,2
FE_DBTC27654_tcdm_dma_req_15_wdata_data_141,INV_X1,2
FE_DBTC27653_tcdm_dma_req_15_wdata_data_140,INV_X1,2
FE_DBTC27652_tcdm_dma_req_15_wdata_data_136,INV_X1,2
FE_DBTC27651_tcdm_dma_req_15_wdata_data_135,INV_X1,2
FE_DBTC27650_tcdm_dma_req_15_wdata_data_134,INV_X1,2
FE_DBTC27649_tcdm_dma_req_15_wdata_data_133,INV_X1,2
FE_DBTC27648_tcdm_dma_req_15_wdata_data_132,INV_X1,2
FE_DBTC27647_tcdm_dma_req_15_wdata_data_131,INV_X1,2
