net_name,type,fanout
clk_i,clock,271528
rst_ni,reset,206228
LOGICAL_0,constant,12978
gen_tiles[0].i_tile_gen_caches[0].i_snitch_icache_gen_prefetcher[0].i_snitch_icache_l0_gen_array[0].gen_latch.clk_vld,clock,257
gen_tiles[0].i_tile_gen_caches[0].i_snitch_icache_gen_prefetcher[0].i_snitch_icache_l0_gen_array[1].gen_latch.clk_vld,clock,257
gen_tiles[0].i_tile_gen_caches[0].i_snitch_icache_gen_prefetcher[0].i_snitch_icache_l0_gen_array[2].gen_latch.clk_vld,clock,257
gen_tiles[0].i_tile_gen_caches[0].i_snitch_icache_gen_prefetcher[0].i_snitch_icache_l0_gen_array[3].gen_latch.clk_vld,clock,257
gen_tiles[0].i_tile_gen_caches[0].i_snitch_icache_gen_prefetcher[1].i_snitch_icache_l0_gen_array[0].gen_latch.clk_vld,clock,257
gen_tiles[0].i_tile_gen_caches[0].i_snitch_icache_gen_prefetcher[1].i_snitch_icache_l0_gen_array[1].gen_latch.clk_vld,clock,257
gen_tiles[0].i_tile_gen_caches[0].i_snitch_icache_gen_prefetcher[1].i_snitch_icache_l0_gen_array[2].gen_latch.clk_vld,clock,257
gen_tiles[0].i_tile_gen_caches[0].i_snitch_icache_gen_prefetcher[1].i_snitch_icache_l0_gen_array[3].gen_latch.clk_vld,clock,257
gen_tiles[0].i_tile_gen_caches[0].i_snitch_icache_gen_prefetcher[2].i_snitch_icache_l0_gen_array[0].gen_latch.clk_vld,clock,257
gen_tiles[0].i_tile_gen_caches[0].i_snitch_icache_gen_prefetcher[2].i_snitch_icache_l0_gen_array[1].gen_latch.clk_vld,clock,257
gen_tiles[0].i_tile_gen_caches[0].i_snitch_icache_gen_prefetcher[2].i_snitch_icache_l0_gen_array[2].gen_latch.clk_vld,clock,257
gen_tiles[0].i_tile_gen_caches[0].i_snitch_icache_gen_prefetcher[2].i_snitch_icache_l0_gen_array[3].gen_latch.clk_vld,clock,257
gen_tiles[0].i_tile_gen_caches[0].i_snitch_icache_gen_prefetcher[3].i_snitch_icache_l0_gen_array[0].gen_latch.clk_vld,clock,257
gen_tiles[0].i_tile_gen_caches[0].i_snitch_icache_gen_prefetcher[3].i_snitch_icache_l0_gen_array[1].gen_latch.clk_vld,clock,257
gen_tiles[0].i_tile_gen_caches[0].i_snitch_icache_gen_prefetcher[3].i_snitch_icache_l0_gen_array[2].gen_latch.clk_vld,clock,257
gen_tiles[0].i_tile_gen_caches[0].i_snitch_icache_gen_prefetcher[3].i_snitch_icache_l0_gen_array[3].gen_latch.clk_vld,clock,257
gen_tiles[1].i_tile_gen_caches[0].i_snitch_icache_gen_prefetcher[0].i_snitch_icache_l0_gen_array[0].gen_latch.clk_vld,clock,257
gen_tiles[1].i_tile_gen_caches[0].i_snitch_icache_gen_prefetcher[0].i_snitch_icache_l0_gen_array[1].gen_latch.clk_vld,clock,257
gen_tiles[1].i_tile_gen_caches[0].i_snitch_icache_gen_prefetcher[0].i_snitch_icache_l0_gen_array[2].gen_latch.clk_vld,clock,257
gen_tiles[1].i_tile_gen_caches[0].i_snitch_icache_gen_prefetcher[0].i_snitch_icache_l0_gen_array[3].gen_latch.clk_vld,clock,257
gen_tiles[1].i_tile_gen_caches[0].i_snitch_icache_gen_prefetcher[1].i_snitch_icache_l0_gen_array[0].gen_latch.clk_vld,clock,257
gen_tiles[1].i_tile_gen_caches[0].i_snitch_icache_gen_prefetcher[1].i_snitch_icache_l0_gen_array[1].gen_latch.clk_vld,clock,257
gen_tiles[1].i_tile_gen_caches[0].i_snitch_icache_gen_prefetcher[1].i_snitch_icache_l0_gen_array[2].gen_latch.clk_vld,clock,257
gen_tiles[1].i_tile_gen_caches[0].i_snitch_icache_gen_prefetcher[1].i_snitch_icache_l0_gen_array[3].gen_latch.clk_vld,clock,257
gen_tiles[1].i_tile_gen_caches[0].i_snitch_icache_gen_prefetcher[2].i_snitch_icache_l0_gen_array[0].gen_latch.clk_vld,clock,257
gen_tiles[1].i_tile_gen_caches[0].i_snitch_icache_gen_prefetcher[2].i_snitch_icache_l0_gen_array[1].gen_latch.clk_vld,clock,257
gen_tiles[1].i_tile_gen_caches[0].i_snitch_icache_gen_prefetcher[2].i_snitch_icache_l0_gen_array[2].gen_latch.clk_vld,clock,257
gen_tiles[1].i_tile_gen_caches[0].i_snitch_icache_gen_prefetcher[2].i_snitch_icache_l0_gen_array[3].gen_latch.clk_vld,clock,257
gen_tiles[1].i_tile_gen_caches[0].i_snitch_icache_gen_prefetcher[3].i_snitch_icache_l0_gen_array[0].gen_latch.clk_vld,clock,257
gen_tiles[1].i_tile_gen_caches[0].i_snitch_icache_gen_prefetcher[3].i_snitch_icache_l0_gen_array[1].gen_latch.clk_vld,clock,257
gen_tiles[1].i_tile_gen_caches[0].i_snitch_icache_gen_prefetcher[3].i_snitch_icache_l0_gen_array[2].gen_latch.clk_vld,clock,257
gen_tiles[1].i_tile_gen_caches[0].i_snitch_icache_gen_prefetcher[3].i_snitch_icache_l0_gen_array[3].gen_latch.clk_vld,clock,257
gen_tiles[2].i_tile_gen_caches[0].i_snitch_icache_gen_prefetcher[0].i_snitch_icache_l0_gen_array[0].gen_latch.clk_vld,clock,257
gen_tiles[2].i_tile_gen_caches[0].i_snitch_icache_gen_prefetcher[0].i_snitch_icache_l0_gen_array[1].gen_latch.clk_vld,clock,257
gen_tiles[2].i_tile_gen_caches[0].i_snitch_icache_gen_prefetcher[0].i_snitch_icache_l0_gen_array[2].gen_latch.clk_vld,clock,257
gen_tiles[2].i_tile_gen_caches[0].i_snitch_icache_gen_prefetcher[0].i_snitch_icache_l0_gen_array[3].gen_latch.clk_vld,clock,257
gen_tiles[2].i_tile_gen_caches[0].i_snitch_icache_gen_prefetcher[1].i_snitch_icache_l0_gen_array[0].gen_latch.clk_vld,clock,257
gen_tiles[2].i_tile_gen_caches[0].i_snitch_icache_gen_prefetcher[1].i_snitch_icache_l0_gen_array[1].gen_latch.clk_vld,clock,257
gen_tiles[2].i_tile_gen_caches[0].i_snitch_icache_gen_prefetcher[1].i_snitch_icache_l0_gen_array[2].gen_latch.clk_vld,clock,257
gen_tiles[2].i_tile_gen_caches[0].i_snitch_icache_gen_prefetcher[1].i_snitch_icache_l0_gen_array[3].gen_latch.clk_vld,clock,257
gen_tiles[2].i_tile_gen_caches[0].i_snitch_icache_gen_prefetcher[2].i_snitch_icache_l0_gen_array[0].gen_latch.clk_vld,clock,257
gen_tiles[2].i_tile_gen_caches[0].i_snitch_icache_gen_prefetcher[2].i_snitch_icache_l0_gen_array[1].gen_latch.clk_vld,clock,257
gen_tiles[2].i_tile_gen_caches[0].i_snitch_icache_gen_prefetcher[2].i_snitch_icache_l0_gen_array[2].gen_latch.clk_vld,clock,257
gen_tiles[2].i_tile_gen_caches[0].i_snitch_icache_gen_prefetcher[2].i_snitch_icache_l0_gen_array[3].gen_latch.clk_vld,clock,257
gen_tiles[2].i_tile_gen_caches[0].i_snitch_icache_gen_prefetcher[3].i_snitch_icache_l0_gen_array[0].gen_latch.clk_vld,clock,257
gen_tiles[2].i_tile_gen_caches[0].i_snitch_icache_gen_prefetcher[3].i_snitch_icache_l0_gen_array[1].gen_latch.clk_vld,clock,257
gen_tiles[2].i_tile_gen_caches[0].i_snitch_icache_gen_prefetcher[3].i_snitch_icache_l0_gen_array[2].gen_latch.clk_vld,clock,257
gen_tiles[2].i_tile_gen_caches[0].i_snitch_icache_gen_prefetcher[3].i_snitch_icache_l0_gen_array[3].gen_latch.clk_vld,clock,257
