ref_name,count,percentage
NAND2_X1,302441,13.57
INV_X1,270743,12.14
AND2_X1,183560,8.23
AOI22_X1,171419,7.69
XNOR2_X1,164296,7.37
SDFF_X1,160861,7.22
OAI22_X1,120670,5.41
OAI21_X1,113519,5.09
DFF_X1,112200,5.03
FA_X1,111495,5.0
NOR2_X1,91797,4.12
AOI21_X1,63950,2.87
SDFFR_X1,41716,1.87
MUX2_X1,39458,1.77
AOI222_X1,35087,1.57
XOR2_X1,29542,1.33
DFFR_X1,27680,1.24
NAND3_X1,24002,1.08
OR2_X1,23225,1.04
NAND4_X1,22661,1.02
OAI221_X1,19513,0.88
AOI221_X1,18268,0.82
OAI211_X1,11156,0.5
SDFF_X2,8159,0.37
NOR3_X1,7430,0.33
AND4_X1,6957,0.31
AND3_X1,5314,0.24
AND2_X2,4832,0.22
AOI211_X1,3961,0.18
NOR4_X1,3940,0.18
HA_X1,3552,0.16
AND2_X4,2566,0.12
OR2_X2,2268,0.1
OR3_X1,2253,0.1
OAI222_X1,2199,0.1
SDFFR_X2,1730,0.08
INV_X2,1636,0.07
OR4_X1,1280,0.06
DFFS_X1,1212,0.05
DFF_X2,1136,0.05
AND4_X2,803,0.04
NOR2_X2,773,0.03
AND4_X4,770,0.03
NAND2_X2,769,0.03
AND3_X2,759,0.03
INV_X4,613,0.03
DFFR_X2,608,0.03
MUX2_X2,604,0.03
OAI33_X1,518,0.02
OR2_X4,454,0.02
AOI21_X2,430,0.02
OAI21_X2,372,0.02
XNOR2_X2,307,0.01
NAND2_X4,255,0.01
SDFFS_X1,216,0.01
OAI221_X4,197,0.01
AOI22_X2,141,0.01
OR3_X2,140,0.01
AND3_X4,133,0.01
NAND3_X2,103,0.0
NOR3_X2,95,0.0
fakeram45_512x256,64,0.0
OAI22_X2,55,0.0
OR3_X4,53,0.0
INV_X8,52,0.0
fakeram45_64x256,50,0.0
NAND4_X2,38,0.0
DFFS_X2,29,0.0
AOI211_X4,28,0.0
NOR4_X2,28,0.0
OAI211_X2,25,0.0
OR4_X2,25,0.0
NOR2_X4,23,0.0
AOI221_X2,21,0.0
AOI221_X4,16,0.0
fakeram45_64x116,16,0.0
fakeram45_256x258,12,0.0
OAI222_X4,12,0.0
AOI22_X4,9,0.0
INV_X16,7,0.0
SDFFS_X2,6,0.0
fakeram45_256x16,6,0.0
XOR2_X2,5,0.0
fakeram45_128x6,4,0.0
OAI221_X2,4,0.0
AOI211_X2,4,0.0
fakeram45_256x8,4,0.0
fakeram45_256x4,4,0.0
NOR4_X4,4,0.0
NAND3_X4,3,0.0
fakeram45_64x258,2,0.0
fakeram45_128x12,2,0.0
fakeram45_80x72,2,0.0
fakeram45_80x18,2,0.0
fakeram45_32x32,2,0.0
AOI222_X4,2,0.0
fakeram45_256x14,2,0.0
fakeram45_64x64,2,0.0
AOI222_X2,1,0.0
NOR3_X4,1,0.0
OR4_X4,1,0.0
OAI21_X4,1,0.0
