ref_name,count,percentage
AOI22_X1,162869,17.35
INV_X1,129319,13.77
NAND2_X1,106637,11.36
OAI22_X1,96131,10.24
DFFRS_X1,72843,7.76
OAI21_X1,69934,7.45
NOR2_X1,53981,5.75
AOI21_X1,46841,4.99
NAND4_X1,30547,3.25
NAND3_X1,26009,2.77
AND2_X1,22271,2.37
XNOR2_X1,22034,2.35
NOR4_X1,15035,1.6
DFF_X1,14462,1.54
OR2_X1,13898,1.48
NOR3_X1,9453,1.01
AND4_X1,8288,0.88
XOR2_X1,7439,0.79
AND3_X1,5686,0.61
INV_X2,4488,0.48
AND2_X2,4407,0.47
OR2_X2,2508,0.27
FA_X1,2385,0.25
AND2_X4,2335,0.25
OR3_X1,1616,0.17
AND3_X2,1138,0.12
OR4_X1,1040,0.11
INV_X4,805,0.09
NAND2_X2,728,0.08
OR2_X4,608,0.06
AND4_X2,584,0.06
NOR2_X2,457,0.05
OR3_X2,418,0.04
NAND3_X2,262,0.03
HA_X1,248,0.03
AND3_X4,210,0.02
OR3_X4,182,0.02
OR4_X2,138,0.01
OAI21_X2,122,0.01
AOI22_X2,114,0.01
AOI21_X2,107,0.01
OAI22_X2,101,0.01
NAND2_X4,90,0.01
NOR3_X2,42,0.0
XNOR2_X2,36,0.0
NAND4_X2,33,0.0
fakeram45_1024x32,18,0.0
INV_X8,17,0.0
NOR4_X2,12,0.0
XOR2_X2,7,0.0
NOR2_X4,5,0.0
NOR3_X4,2,0.0
fakeram45_512x22,2,0.0
fakeram45_512x44,2,0.0
fakeram45_256x84,2,0.0
DLL_X1,1,0.0
fakeram45_256x52,1,0.0
fakeram45_256x7,1,0.0
fakeram45_256x54,1,0.0
fakeram45_256x59,1,0.0
fakeram45_1024x64,1,0.0
fakeram45_128x16,1,0.0
fakeram45_256x196,1,0.0
NAND3_X4,1,0.0
