net_name,type,fanout
coreclk,clock,84231
LOGICAL_1,constant,74177
mmu_rst_b,reset,72840
pll_core_clk,clock,3108
x_ct_core_idu_iu_rf_pipe0_gateclk_sel,clock,694
x_ct_core_idu_iu_rf_pipe1_gateclk_sel,clock,624
x_ct_core_idu_iu_rf_special_gateclk_sel,clock,323
x_ct_core_idu_iu_rf_bju_gateclk_sel,clock,301
x_ct_core_idu_iu_rf_mult_gateclk_sel,clock,211
x_ct_core_x_ct_idu_top_ctrl_aiq0_create0_gateclk_en,clock,198
x_ct_core_idu_cp0_rf_gateclk_sel,clock,170
x_ct_core_idu_iu_rf_div_gateclk_sel,clock,148
FE_DBTN3007_x_ct_core_idu_iu_rf_div_gateclk_sel,clock,131
x_ct_core_idu_vfpu_rf_pipe7_gateclk_sel,clock,99
x_ct_core_x_ct_cp0_top_x_ct_cp0_regs_rst_sample,reset,79
FE_DBTN3006_x_ct_core_idu_iu_rf_pipe1_gateclk_sel,clock,73
FE_DBTN3009_x_ct_core_idu_cp0_rf_gateclk_sel,clock,65
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex5_fma_rst0_sel,reset,41
x_ct_core_idu_lsu_rf_pipe5_gateclk_sel,clock,39
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe7_x_ct_vfmau_mult1_slice0_mult1_ex5_fma_rst0_sel,reset,38
FE_DBTN397_x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe7_x_ct_vfmau_mult1_slice0_mult1_ex5_fma_rst0_sel,reset,33
x_ct_core_x_ct_idu_top_x_ct_idu_ir_rt_inst3_gateclk_write_en_BAR,clock,32
FE_DBTN98_x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex5_fma_rst0_sel,reset,27
x_ct_core_x_ct_idu_top_ctrl_aiq1_create1_gateclk_en,clock,13
x_ct_core_x_ct_vfpu_top_x_ct_vfdsu_top_x_ct_vfdsu_double_x_ct_vfdsu_srt_vfdsu_ex2_expnt_rst[2],reset,13
x_ct_core_x_ct_vfpu_top_x_ct_vfdsu_top_x_ct_vfdsu_double_x_ct_vfdsu_srt_vfdsu_ex2_expnt_rst[5],reset,12
x_ct_core_x_ct_rtu_top_rob_pst_retire_inst2_gateclk_vld,clock,11
x_ct_core_x_ct_vfpu_top_x_ct_vfdsu_top_x_ct_vfdsu_double_x_ct_vfdsu_srt_vfdsu_ex2_expnt_rst[6],reset,11
