ref_name,count,percentage
AOI21_X1,1620,13.56
NOR2_X1,1571,13.15
OAI21_X1,1512,12.65
NAND2_X1,1498,12.53
XNOR2_X1,695,5.82
AOI221_X1,693,5.8
OAI221_X1,597,5.0
DFF_X1,561,4.69
MUX2_X1,499,4.18
NOR3_X1,446,3.73
AOI22_X1,398,3.33
OAI22_X1,388,3.25
NAND3_X1,375,3.14
XOR2_X1,311,2.6
INV_X1,140,1.17
NAND4_X1,128,1.07
NOR4_X1,122,1.02
AND2_X1,75,0.63
OAI33_X1,73,0.61
OR2_X1,63,0.53
OR3_X1,42,0.35
AND3_X1,34,0.28
OR4_X1,26,0.22
AND4_X1,24,0.2
OAI222_X1,23,0.19
AOI222_X1,22,0.18
OAI211_X2,6,0.05
HA_X1,4,0.03
AOI211_X2,4,0.03
BUF_X1,1,0.01
