ref_name,count,percentage
NAND2_X1,166,32.17
INV_X1,81,15.7
OAI21_X1,42,8.14
DFF_X1,35,6.78
NAND3_X1,34,6.59
NAND2_X2,27,5.23
NOR2_X1,23,4.46
NAND4_X1,13,2.52
NAND2_X4,12,2.33
INV_X2,11,2.13
XNOR2_X1,11,2.13
AOI21_X1,10,1.94
NOR2_X2,8,1.55
BUF_X1,8,1.55
AND2_X1,5,0.97
NOR4_X1,4,0.78
BUF_X2,3,0.58
MUX2_X1,3,0.58
NOR2_X4,2,0.39
OR2_X1,2,0.39
AND2_X4,2,0.39
AOI21_X4,2,0.39
CLKBUF_X1,2,0.39
OAI21_X2,1,0.19
OR2_X2,1,0.19
INV_X4,1,0.19
BUF_X4,1,0.19
AOI22_X1,1,0.19
NOR3_X1,1,0.19
XOR2_X1,1,0.19
INV_X8,1,0.19
BUF_X16,1,0.19
BUF_X8,1,0.19
