ref_name,count,percentage
sky130_fd_sc_hs__nand2_1,128,32.99
sky130_fd_sc_hs__nor2_1,39,10.05
sky130_fd_sc_hs__edfxtp_1,32,8.25
sky130_fd_sc_hs__nand3_1,31,7.99
sky130_fd_sc_hs__inv_1,24,6.19
sky130_fd_sc_hs__a21oi_1,20,5.15
sky130_fd_sc_hs__and2_1,13,3.35
sky130_fd_sc_hs__xnor2_1,12,3.09
sky130_fd_sc_hs__nand4_1,9,2.32
sky130_fd_sc_hs__nand2b_1,8,2.06
sky130_fd_sc_hs__clkbuf_2,6,1.55
sky130_fd_sc_hs__nand2_2,6,1.55
sky130_fd_sc_hs__and2_2,6,1.55
sky130_fd_sc_hs__inv_2,5,1.29
sky130_fd_sc_hs__xnor2_2,5,1.29
sky130_fd_sc_hs__o21ai_1,4,1.03
sky130_fd_sc_hs__nor2_2,4,1.03
sky130_fd_sc_hs__mux2_1,3,0.77
sky130_fd_sc_hs__dfxtp_1,3,0.77
sky130_fd_sc_hs__nor4_1,2,0.52
sky130_fd_sc_hs__nor2b_2,2,0.52
sky130_fd_sc_hs__or2b_4,2,0.52
sky130_fd_sc_hs__a21oi_2,2,0.52
sky130_fd_sc_hs__o21bai_1,2,0.52
sky130_fd_sc_hs__nand2b_2,2,0.52
sky130_fd_sc_hs__buf_8,2,0.52
sky130_fd_sc_hs__nor3_1,1,0.26
sky130_fd_sc_hs__o2bb2ai_1,1,0.26
sky130_fd_sc_hs__nor3b_1,1,0.26
sky130_fd_sc_hs__o31ai_1,1,0.26
sky130_fd_sc_hs__o21ai_4,1,0.26
sky130_fd_sc_hs__a21boi_1,1,0.26
sky130_fd_sc_hs__xor2_1,1,0.26
sky130_fd_sc_hs__o21a_1,1,0.26
sky130_fd_sc_hs__and2b_1,1,0.26
sky130_fd_sc_hs__xor2_2,1,0.26
sky130_fd_sc_hs__or2b_1,1,0.26
sky130_fd_sc_hs__nor2_4,1,0.26
sky130_fd_sc_hs__nand2_8,1,0.26
sky130_fd_sc_hs__o21ai_2,1,0.26
sky130_fd_sc_hs__a21oi_4,1,0.26
sky130_fd_sc_hs__a21boi_4,1,0.26
