ref_name,count,percentage
sky130_fd_sc_hd__nand2_1,2429,17.66
sky130_fd_sc_hd__dfrtp_1,1650,12.0
sky130_fd_sc_hd__o21ai_0,1539,11.19
sky130_fd_sc_hd__nor2_1,1073,7.8
sky130_fd_sc_hd__a21oi_1,1005,7.31
sky130_fd_sc_hd__xnor2_1,490,3.56
sky130_fd_sc_hd__mux2i_1,436,3.17
sky130_fd_sc_hd__a22oi_1,397,2.89
sky130_fd_sc_hd__mux2_1,388,2.82
sky130_fd_sc_hd__mux4_2,343,2.49
sky130_fd_sc_hd__edfxtp_1,273,1.99
sky130_fd_sc_hd__nand3_1,264,1.92
sky130_fd_sc_hd__xor2_1,249,1.81
sky130_fd_sc_hd__o31ai_1,238,1.73
sky130_fd_sc_hd__maj3_1,227,1.65
sky130_fd_sc_hd__a221oi_1,212,1.54
sky130_fd_sc_hd__o22ai_1,207,1.51
sky130_fd_sc_hd__nor3_1,171,1.24
sky130_fd_sc_hd__clkinv_1,165,1.2
sky130_fd_sc_hd__a22o_1,133,0.97
sky130_fd_sc_hd__a31oi_1,115,0.84
sky130_fd_sc_hd__a222oi_1,103,0.75
sky130_fd_sc_hd__a211oi_1,101,0.73
sky130_fd_sc_hd__o211ai_1,98,0.71
sky130_fd_sc_hd__and3_1,95,0.69
sky130_fd_sc_hd__nor2b_1,93,0.68
sky130_fd_sc_hd__nand4_1,92,0.67
sky130_fd_sc_hd__and2_0,87,0.63
sky130_fd_sc_hd__a21o_1,83,0.6
sky130_fd_sc_hd__xnor3_1,74,0.54
sky130_fd_sc_hd__o21a_1,73,0.53
sky130_fd_sc_hd__xor3_1,60,0.44
sky130_fd_sc_hd__nand2b_1,56,0.41
sky130_fd_sc_hd__nor4_1,53,0.39
sky130_fd_sc_hd__o22a_1,52,0.38
sky130_fd_sc_hd__or2_0,47,0.34
sky130_fd_sc_hd__a221o_1,45,0.33
sky130_fd_sc_hd__o221ai_1,38,0.28
sky130_fd_sc_hd__or3_1,36,0.26
sky130_fd_sc_hd__nand3b_1,33,0.24
sky130_fd_sc_hd__a21boi_0,31,0.23
sky130_fd_sc_hd__a311oi_1,26,0.19
sky130_fd_sc_hd__a211o_1,25,0.18
sky130_fd_sc_hd__a2111oi_0,24,0.17
sky130_fd_sc_hd__o221a_1,22,0.16
sky130_fd_sc_hd__o41ai_1,20,0.15
sky130_fd_sc_hd__a31o_1,17,0.12
sky130_fd_sc_hd__and4_1,16,0.12
sky130_fd_sc_hd__o311ai_0,16,0.12
sky130_fd_sc_hd__nor3b_1,14,0.1
sky130_fd_sc_hd__o32ai_1,14,0.1
sky130_fd_sc_hd__a32oi_1,14,0.1
sky130_fd_sc_hd__o31a_1,14,0.1
sky130_fd_sc_hd__o21bai_1,14,0.1
sky130_fd_sc_hd__o2bb2ai_1,13,0.09
sky130_fd_sc_hd__or3b_1,11,0.08
sky130_fd_sc_hd__and3b_1,11,0.08
sky130_fd_sc_hd__nor4b_1,11,0.08
sky130_fd_sc_hd__or4_1,10,0.07
sky130_fd_sc_hd__dfstp_2,9,0.07
sky130_fd_sc_hd__a2111o_1,8,0.06
sky130_fd_sc_hd__o2111ai_1,7,0.05
sky130_fd_sc_hd__and4b_1,7,0.05
sky130_fd_sc_hd__a41o_1,7,0.05
sky130_fd_sc_hd__buf_4,6,0.04
sky130_fd_sc_hd__a311o_1,6,0.04
sky130_fd_sc_hd__o311a_1,6,0.04
sky130_fd_sc_hd__o41a_1,6,0.04
sky130_fd_sc_hd__nand4b_1,6,0.04
sky130_fd_sc_hd__a41oi_1,6,0.04
sky130_fd_sc_hd__or4b_1,5,0.04
sky130_fd_sc_hd__a32o_1,5,0.04
sky130_fd_sc_hd__a2bb2oi_1,4,0.03
sky130_fd_sc_hd__nor4bb_1,4,0.03
sky130_fd_sc_hd__o211a_1,3,0.02
sky130_fd_sc_hd__conb_1,2,0.01
sky130_fd_sc_hd__nand4bb_1,2,0.01
sky130_fd_sc_hd__a21bo_1,2,0.01
sky130_fd_sc_hd__o21ba_1,2,0.01
sky130_fd_sc_hd__a2bb2o_1,1,0.01
sky130_fd_sc_hd__dlxtn_1,1,0.01
sky130_fd_sc_hd__o2111a_1,1,0.01
