ref_name,count,percentage
sky130_fd_sc_hd__fa_1,4389,13.27
sky130_fd_sc_hd__edfxtp_1,4318,13.05
sky130_fd_sc_hd__ha_1,3525,10.66
sky130_fd_sc_hd__and2_1,2529,7.64
sky130_fd_sc_hd__nand2_1,2324,7.02
sky130_fd_sc_hd__o21ai_0,1763,5.33
sky130_fd_sc_hd__a21oi_1,1697,5.13
sky130_fd_sc_hd__xnor2_1,1676,5.07
sky130_fd_sc_hd__nor2_1,1222,3.69
sky130_fd_sc_hd__mux2_2,948,2.87
sky130_fd_sc_hd__clkbuf_1,842,2.55
sky130_fd_sc_hd__xor2_1,780,2.36
sky130_fd_sc_hd__inv_1,645,1.95
sky130_fd_sc_hd__nand3_1,643,1.94
sky130_fd_sc_hd__nor3_1,632,1.91
sky130_fd_sc_hd__nor2b_1,583,1.76
sky130_fd_sc_hd__a21o_1,456,1.38
sky130_fd_sc_hd__o21bai_1,411,1.24
sky130_fd_sc_hd__or3_1,316,0.96
sky130_fd_sc_hd__and3_1,314,0.95
sky130_fd_sc_hd__o21a_1,278,0.84
sky130_fd_sc_hd__a31oi_1,245,0.74
sky130_fd_sc_hd__o31ai_1,245,0.74
sky130_fd_sc_hd__or2_2,220,0.66
sky130_fd_sc_hd__a211o_1,197,0.6
sky130_fd_sc_hd__o21ai_1,149,0.45
sky130_fd_sc_hd__nand2b_1,123,0.37
sky130_fd_sc_hd__nand4_1,119,0.36
sky130_fd_sc_hd__a211oi_1,118,0.36
sky130_fd_sc_hd__buf_1,111,0.34
sky130_fd_sc_hd__nor4_1,100,0.3
sky130_fd_sc_hd__a41oi_1,83,0.25
sky130_fd_sc_hd__o211ai_1,80,0.24
sky130_fd_sc_hd__nor4b_1,73,0.22
sky130_fd_sc_hd__o2111ai_1,64,0.19
sky130_fd_sc_hd__dfrtp_1,64,0.19
sky130_fd_sc_hd__a31o_1,57,0.17
sky130_fd_sc_hd__a21oi_2,55,0.17
sky130_fd_sc_hd__o22ai_1,52,0.16
sky130_fd_sc_hd__nor3b_1,44,0.13
sky130_fd_sc_hd__nand3b_1,42,0.13
sky130_fd_sc_hd__o211a_1,35,0.11
sky130_fd_sc_hd__o2111a_1,32,0.1
sky130_fd_sc_hd__clkbuf_2,30,0.09
sky130_fd_sc_hd__o311a_1,28,0.08
sky130_fd_sc_hd__a311oi_1,24,0.07
sky130_fd_sc_hd__or4_4,24,0.07
sky130_fd_sc_hd__o22a_1,24,0.07
sky130_fd_sc_hd__a31o_2,23,0.07
sky130_fd_sc_hd__or4b_2,23,0.07
sky130_fd_sc_hd__o221ai_1,22,0.07
sky130_fd_sc_hd__o41a_1,21,0.06
sky130_fd_sc_hd__mux2i_1,19,0.06
sky130_fd_sc_hd__a221oi_1,18,0.05
sky130_fd_sc_hd__o41ai_2,18,0.05
sky130_fd_sc_hd__buf_2,16,0.05
sky130_fd_sc_hd__or4_1,15,0.05
sky130_fd_sc_hd__a311o_1,15,0.05
sky130_fd_sc_hd__a22oi_1,13,0.04
sky130_fd_sc_hd__a222oi_1,13,0.04
sky130_fd_sc_hd__a21boi_0,11,0.03
sky130_fd_sc_hd__inv_2,10,0.03
sky130_fd_sc_hd__a221o_1,10,0.03
sky130_fd_sc_hd__a2111oi_0,9,0.03
sky130_fd_sc_hd__o41ai_1,8,0.02
sky130_fd_sc_hd__a22o_1,8,0.02
sky130_fd_sc_hd__or4b_1,8,0.02
sky130_fd_sc_hd__nor4b_2,7,0.02
sky130_fd_sc_hd__a221oi_4,7,0.02
sky130_fd_sc_hd__o21ai_2,7,0.02
sky130_fd_sc_hd__o311ai_0,5,0.02
sky130_fd_sc_hd__o32ai_1,4,0.01
sky130_fd_sc_hd__and4_1,4,0.01
sky130_fd_sc_hd__o221a_2,4,0.01
sky130_fd_sc_hd__o32a_1,3,0.01
sky130_fd_sc_hd__a32oi_1,3,0.01
sky130_fd_sc_hd__o31a_1,3,0.01
sky130_fd_sc_hd__o21ba_1,3,0.01
sky130_fd_sc_hd__a211oi_2,3,0.01
sky130_fd_sc_hd__o21ba_2,3,0.01
sky130_fd_sc_hd__a41o_1,3,0.01
sky130_fd_sc_hd__a21boi_1,2,0.01
sky130_fd_sc_hd__clkinv_1,2,0.01
sky130_fd_sc_hd__a21bo_2,2,0.01
sky130_fd_sc_hd__dfstp_2,2,0.01
sky130_fd_sc_hd__nor4_2,1,0.0
sky130_fd_sc_hd__o2bb2ai_1,1,0.0
sky130_fd_sc_hd__xnor2_2,1,0.0
sky130_fd_sc_hd__a2bb2oi_1,1,0.0
sky130_fd_sc_hd__or2_1,1,0.0
sky130_fd_sc_hd__conb_1,1,0.0
sky130_fd_sc_hd__buf_4,1,0.0
