ref_name,count,percentage
MUX2_X1,5936,21.24
DFF_X1,4035,14.44
INV_X1,1812,6.48
BUF_X1,1802,6.45
OAI21_X1,1755,6.28
NAND2_X1,1643,5.88
HA_X1,1570,5.62
AOI21_X1,1429,5.11
NOR2_X1,1054,3.77
AND2_X1,860,3.08
NAND3_X1,545,1.95
NOR3_X1,496,1.77
OAI22_X1,479,1.71
AOI221_X1,401,1.43
XNOR2_X1,380,1.36
AOI22_X1,357,1.28
NAND4_X1,355,1.27
BUF_X2,313,1.12
AND3_X1,305,1.09
FA_X1,277,0.99
CLKBUF_X1,270,0.97
OR2_X1,253,0.91
NOR4_X1,231,0.83
OAI221_X1,179,0.64
AND4_X1,139,0.5
BUF_X4,128,0.46
XOR2_X1,127,0.45
AOI222_X1,108,0.39
OR3_X1,101,0.36
OAI33_X1,77,0.28
AOI211_X2,63,0.23
OR4_X1,39,0.14
OAI211_X2,39,0.14
OAI222_X1,36,0.13
AOI21_X2,35,0.13
NOR2_X2,26,0.09
AOI221_X2,19,0.07
BUF_X8,18,0.06
NOR4_X2,16,0.06
OR4_X2,15,0.05
NOR3_X4,15,0.05
NOR3_X2,15,0.05
OR2_X2,12,0.04
AND2_X2,11,0.04
CLKBUF_X2,11,0.04
NAND4_X2,10,0.04
MUX2_X2,10,0.04
NOR4_X4,10,0.04
OAI21_X2,10,0.04
AOI22_X4,9,0.03
NAND2_X2,9,0.03
INV_X2,8,0.03
AOI22_X2,8,0.03
NAND3_X2,8,0.03
AOI21_X4,7,0.03
NAND2_X4,6,0.02
NAND4_X4,6,0.02
NOR2_X4,5,0.02
OR4_X4,5,0.02
OR3_X2,5,0.02
LOGIC0_X1,5,0.02
OAI22_X2,5,0.02
AND3_X2,5,0.02
AOI221_X4,3,0.01
NAND3_X4,2,0.01
OAI21_X4,2,0.01
OAI222_X2,2,0.01
INV_X4,2,0.01
OR2_X4,2,0.01
AND3_X4,2,0.01
AND4_X2,2,0.01
LOGIC1_X1,2,0.01
AOI211_X4,2,0.01
OAI221_X2,2,0.01
fakeram45_64x32,2,0.01
OAI211_X4,1,0.0
AND4_X4,1,0.0
CLKBUF_X3,1,0.0
OAI222_X4,1,0.0
OR3_X4,1,0.0
OAI22_X4,1,0.0
OAI221_X4,1,0.0
