ref_name,count,percentage
AOI22_X1,16626,19.81
SDFFR_X1,10272,12.24
DFFR_X1,9264,11.04
INV_X1,6959,8.29
NAND2_X1,6104,7.27
OAI22_X1,4375,5.21
OAI21_X1,4318,5.15
NOR2_X1,3355,4.0
AOI222_X1,3034,3.62
NAND4_X1,2459,2.93
OAI221_X1,2264,2.7
FA_X1,1996,2.38
XNOR2_X1,1747,2.08
AOI21_X1,1426,1.7
AOI221_X1,1382,1.65
AND2_X1,1216,1.45
XOR2_X1,863,1.03
NAND3_X1,738,0.88
NOR4_X1,688,0.82
OAI211_X1,683,0.81
OR2_X1,503,0.6
MUX2_X1,465,0.55
NOR3_X1,391,0.47
AND4_X1,356,0.42
AND2_X4,318,0.38
AOI211_X1,245,0.29
HA_X1,190,0.23
INV_X2,160,0.19
INV_X4,160,0.19
OR2_X4,156,0.19
OR4_X1,143,0.17
AND3_X1,114,0.14
OR3_X1,107,0.13
AND2_X2,89,0.11
NAND2_X4,89,0.11
NAND4_X2,68,0.08
AOI222_X4,62,0.07
OAI222_X1,51,0.06
fakeram45_256x16,44,0.05
NOR2_X2,35,0.04
AND3_X4,35,0.04
NAND2_X2,33,0.04
OR2_X2,32,0.04
AOI22_X2,29,0.03
AOI21_X2,27,0.03
DFFR_X2,25,0.03
OR3_X4,25,0.03
OAI33_X1,21,0.03
AND3_X2,18,0.02
INV_X8,17,0.02
OR4_X2,17,0.02
AND4_X4,12,0.01
NAND3_X4,12,0.01
DFFS_X1,10,0.01
SDFFR_X2,10,0.01
AOI211_X4,9,0.01
NOR4_X2,9,0.01
OAI221_X4,8,0.01
AND4_X2,8,0.01
NOR3_X2,8,0.01
OAI21_X2,6,0.01
OR3_X2,5,0.01
AOI221_X4,5,0.01
NAND3_X2,4,0.0
OR4_X4,4,0.0
SDFFS_X1,4,0.0
DLL_X1,3,0.0
AOI221_X2,3,0.0
OAI211_X2,2,0.0
AOI211_X2,1,0.0
MUX2_X2,1,0.0
NAND4_X4,1,0.0
OAI22_X2,1,0.0
DLH_X1,1,0.0
NOR2_X4,1,0.0
XNOR2_X2,1,0.0
XOR2_X2,1,0.0
