ref_name,count,avg_degree
block_103x1512_109,24,108.0
block_103x1629_118,24,117.0
block_252x2070_144,24,143.0
block_416x441_118,14,118.0
block_315x2592_178,12,177.0
block_1219x6795_1243f,7,1243.0
block_1219x6795_1243,7,1243.0
block_232x297_50,6,50.0
block_546x675_87,4,87.0
block_341x369_72,3,72.0
block_684x2925_380yf,3,380.0
block_684x1170_169,3,169.0
block_684x1161_169,3,169.0
block_341x369_76,3,76.0
block_684x2925_380,3,380.0
block_546x675_72,2,72.0
block_159x2070_142,2,141.0
block_416x441_112,2,112.0
block_719x1035_113,1,113.0
block_719x1035_113f,1,113.0
block_414x1755_310f,1,310.0
block_1980x3861_165,1,165.0
block_341x369_75,1,75.0
block_315x2592_179,1,178.0
block_535x495_91,1,91.0
block_1980x3861_165f,1,165.0
block_719x1728_181,1,181.0
block_414x1755_310,1,310.0
block_535x945_130,1,130.0
block_567x648_53,1,52.0
block_546x675_77,1,77.0
block_779x1035_82,1,82.0
block_197x171_33,1,33.0
block_546x675_82,1,82.0
block_719x1728_181f,1,181.0
block_546x675_78,1,78.0
block_716x810_113,1,113.0
block_716x810_114,1,114.0
